学历(生源信息)_博士生毕业,毕业人数_550,就业数_521,毕业去向落实率_0.9473,签约人数_504,签约率_0.9164,总升学人数_17,总升学率_0.0309,境内升学人数_-,境内升学率_0,境外升学人数_17,境外升学率_0.0309,年份
本科生毕业,6286,2907,0.4625,1046,0.1664,1851,0.2945,1769,0.2814,82,0.013,2026
硕士生毕业,5878,5615,0.9553,5193,0.8835,370,0.0629,304,0.0517,66,0.0112,2025
硕士生结业,4,1,0.25,1,0.25,-,0.0,-,0.0,-,0.0,2025
本科生毕业,6268,5526,0.8816,2160,0.3446,3188,0.5086,2706,0.4317,482,0.0769,2025
本科生结业,1,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,2025
硕士生毕业,5637,5450,0.9668,5027,0.8918,404,0.0717,334,0.0593,70,0.0124,2024
本科生毕业,6230,5506,0.8838,2171,0.3485,3191,0.5122,2677,0.4297,514,0.0825,2024
硕士生毕业,4858,4688,0.965,4372,0.9,300,0.0618,250,0.0515,50,0.0103,2023
硕士生结业,2,1,0.5,1,0.5,-,0.0,-,0.0,-,0.0,2023
本科生毕业,6045,5387,0.8911,2182,0.361,3070,0.5079,2602,0.4304,468,0.0774,2023
硕士生毕业,5071,4927,0.9716,4647,0.9164,240,0.0473,177,0.0349,63,0.0124,2022
硕士生结业,4,1,0.25,1,0.25,-,0.0,-,0.0,-,0.0,2022
本科生毕业,6225,5549,0.8914,2264,0.3637,2966,0.4765,2512,0.4035,454,0.0729,2022
本科生结业,1,1,1.0,1,1.0,-,0.0,-,0.0,-,0.0,2022
